clave_entidad,entidad_federativa,clave_municipio,municipio,grupo,poblacion,pobreza_porcentaje,carencia_rezago_educativo_porcentaje,carencia_servicios_de_salud_porcentaje,carencia_seguridad_social_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,carencia_servicios_basicos_vivienda_porcentaje,carencia_alimentacion_nutritiva_calidad_porcentaje,ingreso_inferior_a_lpi_porcentaje,periodo,entidad,entidad_federativa_etq
1,Aguascalientes,1001,Aguascalientes,Población por sexo: mujeres,473989,23.643528,9.080696,18.499701,35.203598,2.220081,-999.0,16.183019,34.418402,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1002,Asientos,Población por sexo: mujeres,24553,39.87662,19.884844,14.750413,59.189475,7.927336,6.995715,27.942412,47.062776,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1003,Calvillo,Población por sexo: mujeres,26277,46.36045,20.719797,17.281861,73.513603,5.448032,-999.0,18.79184,50.568116,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1004,Cosío,Población por sexo: mujeres,8146,37.906562,16.250073,15.384112,43.890273,9.779691,4.358155,25.275122,48.275859,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1005,Jesús María,Población por sexo: mujeres,64108,25.849067,15.191258,20.040744,38.490019,6.551036,-999.0,17.863572,34.195452,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1006,Pabellón de Arteaga,Población por sexo: mujeres,22797,28.290112,13.710719,19.434073,42.910998,6.510817,-999.0,16.169188,39.299604,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1007,Rincón de Romos,Población por sexo: mujeres,27385,41.038462,13.960426,19.721305,55.771176,9.379292,5.700822,25.018748,49.849064,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1008,San José de Gracia,Población por sexo: mujeres,4882,46.052879,13.376652,-999.0,73.134663,3.54022,4.414071,10.284562,51.907909,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1009,Tepezalá,Población por sexo: mujeres,10560,37.528201,18.251183,14.321801,56.434885,6.586102,-999.0,20.962081,45.456021,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1010,El Llano,Población por sexo: mujeres,10006,40.894462,20.55718,21.677737,57.692394,8.262702,7.282092,23.440771,46.573125,2020-01-01,Aguascalientes,Aguascalientes
1,Aguascalientes,1011,San Francisco de los Romo,Población por sexo: mujeres,28111,37.633003,18.051724,20.840823,39.511916,-999.0,-999.0,20.827949,52.217552,2020-01-01,Aguascalientes,Aguascalientes
2,Baja California,2001,Ensenada,Población por sexo: mujeres,221676,21.932656,12.01279,16.3115,46.193114,6.525758,8.971419,11.729471,27.97816,2020-01-01,Baja California,Baja California
2,Baja California,2002,Mexicali,Población por sexo: mujeres,511040,20.374474,10.484668,16.214552,40.212692,5.866169,3.573568,10.574529,27.707948,2020-01-01,Baja California,Baja California
2,Baja California,2003,Tecate,Población por sexo: mujeres,54458,21.550535,12.789495,19.297491,48.976766,7.414936,-999.0,11.047873,27.45975,2020-01-01,Baja California,Baja California
2,Baja California,2004,Tijuana,Población por sexo: mujeres,927514,24.841745,13.86174,25.473732,42.978512,6.802338,-999.0,13.430786,32.172845,2020-01-01,Baja California,Baja California
2,Baja California,2005,Playas de Rosarito,Población por sexo: mujeres,63518,32.098885,13.939621,26.148411,61.072549,9.453105,5.63773,9.821584,38.783181,2020-01-01,Baja California,Baja California
2,Baja California,2006,San Quintín,Población por sexo: mujeres,56268,36.811871,27.84466,23.897281,58.157639,15.431525,19.745541,21.417505,40.319045,2020-01-01,Baja California,Baja California
3,Baja California Sur,3001,Comondú,Población por sexo: mujeres,39016,35.383987,16.710641,9.414491,44.959816,7.443702,-999.0,24.297114,43.926753,2020-01-01,Baja California Sur,Baja California Sur
3,Baja California Sur,3002,Mulegé,Población por sexo: mujeres,34329,24.240907,16.919255,16.827374,40.363697,8.069467,-999.0,15.170984,30.825753,2020-01-01,Baja California Sur,Baja California Sur
